bCls,bC,bCT,negA,npi,tin,tinT,zip,negT,negR,posH,mdH,nrP,_dT
1,17261,CPT,1,1033394838,208296241,1,96743,3,150.54,42,42,1,1
1,17273,CPT,1,1033394838,208296241,1,96743,3,215.5,42,42,1,1
1,17282,CPT,1,1033394838,208296241,1,96743,3,211.8,42,42,1,1
1,19110,CPT,1,1275566424,990148164,1,96792,3,555.1,42,42,1,1
1,19120,CPT,1,1275566424,990148164,1,96792,3,549.66,42,42,1,1
1,19125,CPT,1,1275566424,990148164,1,96792,3,608.76,42,42,1,1
1,19303,CPT,1,1033394838,208296241,1,96743,3,995.68,42,42,1,1
1,19340,CPT,1,1275566424,990148164,1,96792,3,993.54,42,42,1,1
1,19380,CPT,1,1275566424,990148164,1,96792,3,903.55,42,42,1,1
1,20102,CPT,1,1972695690,943404867,1,94115,3,571.15,42,42,1,1
1,20206,CPT,1,1972695690,943404867,1,94115,3,319.6,42,42,1,1
1,20612,CPT,1,1972695690,943404867,1,94115,3,73.3,42,42,1,1
1,21422,CPT,1,1033394838,208296241,1,96743,3,695.84,42,42,1,1
1,21440,CPT,1,1275566424,990148164,1,96792,3,684.81,42,42,1,1
1,21557,CPT,1,1275566424,990148164,1,96792,3,1011.78,42,42,1,1
1,21558,CPT,1,1275566424,990148164,1,96792,3,1590.66,42,42,1,1
1,22210,CPT,1,1033394838,208296241,1,96743,3,1772.1,42,42,1,1
1,23065,CPT,1,1972695690,943404867,1,94115,3,270.9,42,42,1,1
1,23066,CPT,1,1972695690,943404867,1,94115,3,629.45,42,42,1,1
1,23075,CPT,1,1972695690,943404867,1,94115,3,322.7,42,42,1,1
1,23076,CPT,1,1356449482,990339203,1,96826,3,527.25,42,42,1,1
1,23665,CPT,1,1275566424,990148164,1,96792,3,486.38,42,42,1,1
1,23800,CPT,1,1033394838,208296241,1,96743,3,1031.63,42,42,1,1
1,24073,CPT,1,1275566424,990148164,1,96792,3,813.77,42,42,1,1
1,24075,CPT,1,1972695690,943404867,1,94115,3,589.1,42,42,1,1
1,24220,CPT,1,1558326629,990157698,1,96817,3,263.94,42,42,1,1
1,24220,CPT,1,1548603574,990157698,1,96817,3,263.94,42,42,1,1
1,24220,CPT,1,1336536036,990157698,1,96817,3,263.94,42,42,1,1
1,24305,CPT,1,1275566424,990148164,1,96792,3,669.3,42,42,1,1
1,24640,CPT,1,1033317946,562662457,1,96816,3,146.2,42,42,1,1
1,24640,CPT,1,1326139940,050546176,1,96814,3,146.2,42,42,1,1
1,24640,CPT,1,1548388788,562662457,1,96816,3,146.2,42,42,1,1
1,24640,CPT,1,1356449482,990339203,1,96826,3,103.25,42,42,1,1
1,24665,CPT,1,1275566424,990148164,1,96792,3,751.64,42,42,1,1
1,25024,CPT,1,1972695690,943404867,1,94115,3,1072.55,42,42,1,1
1,25035,CPT,1,1558326629,990157698,1,96817,3,943.85,42,42,1,1
1,25035,CPT,1,1548603574,990157698,1,96817,3,943.85,42,42,1,1
1,25035,CPT,1,1336536036,990157698,1,96817,3,943.85,42,42,1,1
1,25270,CPT,1,1972695690,943404867,1,94115,3,859.85,42,42,1,1
1,25500,CPT,1,1275566424,990148164,1,96792,3,307.04,42,42,1,1
1,25650,CPT,1,1275566424,990148164,1,96792,3,367.11,42,42,1,1
1,25675,CPT,1,1275566424,990148164,1,96792,3,496.07,42,42,1,1
1,25805,CPT,1,1033394838,208296241,1,96743,3,851.41,42,42,1,1
1,26034,CPT,1,1275566424,990148164,1,96792,3,619.75,42,42,1,1
1,26115,CPT,1,1033394838,208296241,1,96743,3,531.28,42,42,1,1
1,26115,CPT,1,1972695690,943404867,1,94115,3,734.3,42,42,1,1
1,26357,CPT,1,1972695690,943404867,1,94115,3,1160.95,42,42,1,1
1,26415,CPT,1,1033394838,208296241,1,96743,3,782.39,42,42,1,1
1,26520,CPT,1,1033394838,208296241,1,96743,3,674.41,42,42,1,1
1,26520,CPT,1,1275566424,990148164,1,96792,3,780.05,42,42,1,1
1,26561,CPT,1,1033394838,208296241,1,96743,3,943.91,42,42,1,1
1,26600,CPT,1,1972695690,943404867,1,94115,3,363.05,42,42,1,1
1,26700,CPT,1,1033394838,208296241,1,96743,3,330.2,42,42,1,1
1,26705,CPT,1,1033394838,208296241,1,96743,3,430.26,42,42,1,1
1,26755,CPT,1,1275566424,990148164,1,96792,3,358.8,42,42,1,1
1,26770,CPT,1,1033394838,208296241,1,96743,3,282.93,42,42,1,1
1,26951,CPT,1,1972695690,943404867,1,94115,3,868.0,42,42,1,1
1,27065,CPT,1,1275566424,990148164,1,96792,3,581.58,42,42,1,1
1,27071,CPT,1,1033606629,990149797,1,96819,3,556.48,42,42,1,1
1,27090,CPT,1,1275566424,990148164,1,96792,3,954.46,42,42,1,1
1,27230,CPT,1,1275566424,990148164,1,96792,3,544.52,42,42,1,1
1,27266,CPT,1,1033394838,208296241,1,96743,3,588.74,42,42,1,1
1,27386,CPT,1,1033394838,208296241,1,96743,3,840.36,42,42,1,1
1,27416,CPT,1,1033394838,208296241,1,96743,3,984.27,42,42,1,1
1,27479,CPT,1,1033606629,990149797,1,96819,3,613.49,42,42,1,1
1,27496,CPT,1,1275566424,990148164,1,96792,3,606.23,42,42,1,1
1,27510,CPT,1,1275566424,990148164,1,96792,3,795.42,42,42,1,1
1,27550,CPT,1,1033394838,208296241,1,96743,3,517.8,42,42,1,1
1,27602,CPT,1,1275566424,990148164,1,96792,3,588.89,42,42,1,1
1,27619,CPT,1,1972695690,943404867,1,94115,3,974.45,42,42,1,1
1,27656,CPT,1,1275566424,990148164,1,96792,3,704.39,42,42,1,1
1,27760,CPT,1,1275566424,990148164,1,96792,3,385.81,42,42,1,1
