bCls,bC,bCT,negA,npi,tin,tinT,zip,negT,negR,posH,mdH,nrP,_dT
1,00160,CPT,1,1033436175,990322406,1,96813,3,50.9,42,42,1,1
1,00218,CPT,1,1033436175,990322406,1,96813,3,50.9,42,42,1,1
1,00222,CPT,1,1033436175,990322406,1,96813,3,50.9,42,42,1,1
1,00402,CPT,1,1033436175,990322406,1,96813,3,50.9,42,42,1,1
1,00404,CPT,1,1033436175,990322406,1,96813,3,50.9,42,42,1,1
1,00470,CPT,1,1033436175,990322406,1,96813,3,50.9,42,42,1,1
1,00472,CPT,1,1033436175,990322406,1,96813,3,50.9,42,42,1,1
1,00474,CPT,1,1033436175,990322406,1,96813,3,50.9,42,42,1,1
1,00529,CPT,1,1033436175,990322406,1,96813,3,50.9,42,42,1,1
1,00541,CPT,1,1033436175,990322406,1,96813,3,50.9,42,42,1,1
1,00550,CPT,1,1033436175,990322406,1,96813,3,50.9,42,42,1,1
1,00563,CPT,1,1033436175,990322406,1,96813,3,50.9,42,42,1,1
1,00600,CPT,1,1033436175,990322406,1,96813,3,50.9,42,42,1,1
1,00851,CPT,1,1033436175,990322406,1,96813,3,50.9,42,42,1,1
1,00860,CPT,1,1306289129,990322406,1,96813,3,50.9,42,42,1,1
1,00860,CPT,1,1033436175,990322406,1,96813,3,50.9,42,42,1,1
1,00862,CPT,1,1033436175,990322406,1,96813,3,50.9,42,42,1,1
1,00872,CPT,1,1306289129,990322406,1,96813,3,50.9,42,42,1,1
1,00872,CPT,1,1033436175,990322406,1,96813,3,50.9,42,42,1,1
1,00912,CPT,1,1033436175,990322406,1,96813,3,50.9,42,42,1,1
1,01215,CPT,1,1033436175,990322406,1,96813,3,50.9,42,42,1,1
1,01360,CPT,1,1306289129,990322406,1,96813,3,50.9,42,42,1,1
1,01360,CPT,1,1033436175,990322406,1,96813,3,50.9,42,42,1,1
1,01380,CPT,1,1306289129,990322406,1,96813,3,50.9,42,42,1,1
1,01380,CPT,1,1033436175,990322406,1,96813,3,50.9,42,42,1,1
1,01482,CPT,1,1033436175,990322406,1,96813,3,50.9,42,42,1,1
1,01500,CPT,1,1306289129,990322406,1,96813,3,50.9,42,42,1,1
1,01500,CPT,1,1033436175,990322406,1,96813,3,50.9,42,42,1,1
1,01638,CPT,1,1033436175,990322406,1,96813,3,50.9,42,42,1,1
1,01654,CPT,1,1033436175,990322406,1,96813,3,50.9,42,42,1,1
1,01744,CPT,1,1033436175,990322406,1,96813,3,50.9,42,42,1,1
1,01925,CPT,1,1033436175,990322406,1,96813,3,50.9,42,42,1,1
1,01953,CPT,1,1033436175,990322406,1,96813,3,50.9,42,42,1,1
1,01958,CPT,1,1033436175,990322406,1,96813,3,50.9,42,42,1,1
1,01960,CPT,1,1033436175,990322406,1,96813,3,50.9,42,42,1,1
1,10080,CPT,1,1093911463,208528683,1,96822,3,181.85,42,42,1,1
1,10080,CPT,1,1639159114,990267971,1,96734,3,181.85,42,42,1,1
1,11200,CPT,1,1093911463,208528683,1,96822,3,71.19,42,42,1,1
1,11200,CPT,1,1639159114,990267971,1,96734,3,71.19,42,42,1,1
1,11402,CPT,1,1285762021,943028774,1,94107,3,199.0,42,42,1,1
1,11446,CPT,1,1699803460,912175578,1,96817,3,460.77,42,42,1,1
1,11600,CPT,1,1093911463,208528683,1,96822,3,202.01,42,42,1,1
1,11600,CPT,1,1639159114,990267971,1,96734,3,202.01,42,42,1,1
1,11740,CPT,1,1285762021,943028774,1,94107,3,61.6,42,42,1,1
1,11740,CPT,1,1720371537,461375763,1,96813,3,61.6,42,42,1,1
1,11740,CPT,1,1275726200,461375763,1,96813,3,61.6,42,42,1,1
1,12004,CPT,1,1093911463,208528683,1,96822,3,199.44,42,42,1,1
1,12004,CPT,1,1639159114,990267971,1,96734,3,199.44,42,42,1,1
1,12004,CPT,1,1285762021,943028774,1,94107,3,221.6,42,42,1,1
1,12004,CPT,1,1720371537,461375763,1,96813,3,221.6,42,42,1,1
1,12004,CPT,1,1275726200,461375763,1,96813,3,221.6,42,42,1,1
