bCls,bC,bCT,negA,npi,tin,tinT,zip,negT,negR,posH,mdH,nrP,_dT
1,00912,CPT,1,1942586581,263052047,1,96814,3,6.25,42,42,1,1
1,00952,CPT,1,1942586581,263052047,1,96814,3,5.0,42,42,1,1
1,01844,CPT,1,1942586581,263052047,1,96814,3,7.5,42,42,1,1
1,12020,CPT,1,1942586581,263052047,1,96814,3,394.51,42,42,1,1
1,12055,CPT,1,1912195322,990318807,1,96720,3,597.8,42,42,1,1
1,12055,CPT,1,1790862381,680534150,1,96720,3,597.8,42,42,1,1
1,19100,CPT,1,1578769667,834591861,1,96826,3,164.41,42,42,1,1
1,19100,CPT,1,1982845681,871606811,1,96826,3,164.41,42,42,1,1
1,19100,CPT,1,1427461268,854294755,1,47304,3,164.41,42,42,1,1
1,23065,CPT,1,1134317571,990346649,1,96743,3,260.53,42,42,1,1
1,24006,CPT,1,1942586581,263052047,1,96814,3,953.48,42,42,1,1
1,24006,CPT,1,1134317571,990346649,1,96743,3,849.52,42,42,1,1
1,24300,CPT,1,1942586581,263052047,1,96814,3,579.0,42,42,1,1
1,27087,CPT,1,1134317571,990346649,1,96743,3,757.28,42,42,1,1
1,27110,CPT,1,1801943931,990358929,1,96793,3,1180.5,42,42,1,1
1,27151,CPT,1,1134317571,990346649,1,96743,3,1849.37,42,42,1,1
1,29280,CPT,1,1801943931,990358929,1,96793,3,36.43,42,42,1,1
1,31515,CPT,1,1912195322,990318807,1,96720,3,265.27,42,42,1,1
1,31515,CPT,1,1790862381,680534150,1,96720,3,265.27,42,42,1,1
1,31720,CPT,1,1912195322,990318807,1,96720,3,61.3,42,42,1,1
1,31720,CPT,1,1790862381,680534150,1,96720,3,61.3,42,42,1,1
1,33966,CPT,1,1942586581,263052047,1,96814,3,303.14,42,42,1,1
1,36513,CPT,1,1578769667,834591861,1,96826,3,104.89,42,42,1,1
1,36513,CPT,1,1982845681,871606811,1,96826,3,104.89,42,42,1,1
1,36513,CPT,1,1427461268,854294755,1,47304,3,104.89,42,42,1,1
1,38102,CPT,1,1578769667,834591861,1,96826,3,252.69,42,42,1,1
1,38102,CPT,1,1982845681,871606811,1,96826,3,252.69,42,42,1,1
1,38102,CPT,1,1427461268,854294755,1,47304,3,252.69,42,42,1,1
1,38571,CPT,1,1386627875,990333566,1,96813,3,1128.24,42,42,1,1
1,38765,CPT,1,1942586581,263052047,1,96814,3,1688.36,42,42,1,1
1,38770,CPT,1,1134317571,990346649,1,96743,3,1012.26,42,42,1,1
1,39561,CPT,1,1134317571,990346649,1,96743,3,1504.27,42,42,1,1
1,41115,CPT,1,1912195322,990318807,1,96720,3,324.83,42,42,1,1
1,41115,CPT,1,1790862381,680534150,1,96720,3,324.83,42,42,1,1
1,43332,CPT,1,1578769667,834591861,1,96826,3,1126.93,42,42,1,1
1,43332,CPT,1,1982845681,871606811,1,96826,3,1126.93,42,42,1,1
1,43332,CPT,1,1427461268,854294755,1,47304,3,1126.93,42,42,1,1
1,44005,CPT,1,1942586581,263052047,1,96814,3,1416.73,42,42,1,1
1,44025,CPT,1,1134317571,990346649,1,96743,3,1157.59,42,42,1,1
1,44602,CPT,1,1578769667,834591861,1,96826,3,1374.97,42,42,1,1
1,44602,CPT,1,1982845681,871606811,1,96826,3,1374.97,42,42,1,1
1,44602,CPT,1,1427461268,854294755,1,47304,3,1374.97,42,42,1,1
1,44603,CPT,1,1134317571,990346649,1,96743,3,1880.08,42,42,1,1
1,44800,CPT,1,1578769667,834591861,1,96826,3,769.21,42,42,1,1
1,44800,CPT,1,1982845681,871606811,1,96826,3,769.21,42,42,1,1
1,44800,CPT,1,1427461268,854294755,1,47304,3,769.21,42,42,1,1
1,45100,CPT,1,1912195322,990318807,1,96720,3,369.87,42,42,1,1
1,45100,CPT,1,1790862381,680534150,1,96720,3,369.87,42,42,1,1
1,45550,CPT,1,1942586581,263052047,1,96814,3,1917.7,42,42,1,1
1,46740,CPT,1,1912195322,990318807,1,96720,3,2559.04,42,42,1,1
1,46740,CPT,1,1790862381,680534150,1,96720,3,2559.04,42,42,1,1
1,46917,CPT,1,1134317571,990346649,1,96743,3,553.92,42,42,1,1
1,47605,CPT,1,1942586581,263052047,1,96814,3,1457.56,42,42,1,1
1,47700,CPT,1,1578769667,834591861,1,96826,3,1058.12,42,42,1,1
1,47700,CPT,1,1982845681,871606811,1,96826,3,1058.12,42,42,1,1
1,47700,CPT,1,1427461268,854294755,1,47304,3,1058.12,42,42,1,1
1,48120,CPT,1,1578769667,834591861,1,96826,3,1088.07,42,42,1,1
1,48120,CPT,1,1982845681,871606811,1,96826,3,1088.07,42,42,1,1
1,48120,CPT,1,1427461268,854294755,1,47304,3,1088.07,42,42,1,1
1,48120,CPT,1,1134317571,990346649,1,96743,3,1295.11,42,42,1,1
1,49084,CPT,1,1942586581,263052047,1,96814,3,138.46,42,42,1,1
1,49084,CPT,1,1578769667,834591861,1,96826,3,103.54,42,42,1,1
1,49084,CPT,1,1982845681,871606811,1,96826,3,103.54,42,42,1,1
1,49084,CPT,1,1427461268,854294755,1,47304,3,103.54,42,42,1,1
1,49203,CPT,1,1578769667,834591861,1,96826,3,1178.94,42,42,1,1
1,49203,CPT,1,1982845681,871606811,1,96826,3,1178.94,42,42,1,1
1,49203,CPT,1,1427461268,854294755,1,47304,3,1178.94,42,42,1,1
1,49320,CPT,1,1942586581,263052047,1,96814,3,427.85,42,42,1,1
1,49585,CPT,1,1134317571,990346649,1,96743,3,516.52,42,42,1,1
1,50234,CPT,1,1578769667,834591861,1,96826,3,1279.65,42,42,1,1
1,50234,CPT,1,1982845681,871606811,1,96826,3,1279.65,42,42,1,1
1,50234,CPT,1,1427461268,854294755,1,47304,3,1279.65,42,42,1,1
1,50400,CPT,1,1912195322,990318807,1,96720,3,1393.94,42,42,1,1
1,50400,CPT,1,1790862381,680534150,1,96720,3,1393.94,42,42,1,1
1,50545,CPT,1,1386627875,990333566,1,96813,3,1945.08,42,42,1,1
1,50557,CPT,1,1386627875,990333566,1,96813,3,541.76,42,42,1,1
1,50575,CPT,1,1386627875,990333566,1,96813,3,1041.8,42,42,1,1
1,50780,CPT,1,1386627875,990333566,1,96813,3,1569.15,42,42,1,1
1,51101,CPT,1,1942586581,263052047,1,96814,3,186.13,42,42,1,1
1,51550,CPT,1,1134317571,990346649,1,96743,3,1248.83,42,42,1,1
1,51565,CPT,1,1386627875,990333566,1,96813,3,1859.0,42,42,1,1
1,51596,CPT,1,1942586581,263052047,1,96814,3,3110.65,42,42,1,1
1,51596,CPT,1,1578769667,834591861,1,96826,3,2302.09,42,42,1,1
1,51596,CPT,1,1982845681,871606811,1,96826,3,2302.09,42,42,1,1
1,51596,CPT,1,1427461268,854294755,1,47304,3,2302.09,42,42,1,1
1,51596,CPT,1,1134317571,990346649,1,96743,3,3098.18,42,42,1,1
1,51701,CPT,1,1942586581,263052047,1,96814,3,61.1,42,42,1,1
1,51701,CPT,1,1386627875,990333566,1,96813,3,72.59,42,42,1,1
1,51702,CPT,1,1942586581,263052047,1,96814,3,86.4,42,42,1,1
1,51797,CPT,1,1578769667,834591861,1,96826,3,217.73,42,42,1,1
1,51797,CPT,1,1982845681,871606811,1,96826,3,217.73,42,42,1,1
1,51797,CPT,1,1427461268,854294755,1,47304,3,217.73,42,42,1,1
1,51798,CPT,1,1386627875,990333566,1,96813,3,31.86,42,42,1,1
1,51865,CPT,1,1386627875,990333566,1,96813,3,1269.68,42,42,1,1
1,51990,CPT,1,1578769667,834591861,1,96826,3,736.66,42,42,1,1
1,51990,CPT,1,1982845681,871606811,1,96826,3,736.66,42,42,1,1
1,51990,CPT,1,1427461268,854294755,1,47304,3,736.66,42,42,1,1
1,51992,CPT,1,1134317571,990346649,1,96743,3,1062.22,42,42,1,1
1,52000,CPT,1,1134317571,990346649,1,96743,3,280.39,42,42,1,1
1,52001,CPT,1,1386627875,990333566,1,96813,3,483.98,42,42,1,1
1,52260,CPT,1,1386627875,990333566,1,96813,3,307.89,42,42,1,1
1,52282,CPT,1,1912195322,990318807,1,96720,3,405.61,42,42,1,1
1,52282,CPT,1,1790862381,680534150,1,96720,3,405.61,42,42,1,1
1,52285,CPT,1,1386627875,990333566,1,96813,3,369.18,42,42,1,1
1,52287,CPT,1,1942586581,263052047,1,96814,3,468.66,42,42,1,1
1,52332,CPT,1,1386627875,990333566,1,96813,3,733.55,42,42,1,1
1,52355,CPT,1,1386627875,990333566,1,96813,3,684.18,42,42,1,1
1,53060,CPT,1,1134317571,990346649,1,96743,3,233.82,42,42,1,1
1,53230,CPT,1,1942586581,263052047,1,96814,3,807.74,42,42,1,1
1,53450,CPT,1,1912195322,990318807,1,96720,3,498.26,42,42,1,1
1,53450,CPT,1,1790862381,680534150,1,96720,3,498.26,42,42,1,1
1,53620,CPT,1,1386627875,990333566,1,96813,3,153.41,42,42,1,1
1,53621,CPT,1,1386627875,990333566,1,96813,3,146.88,42,42,1,1
1,53660,CPT,1,1578769667,834591861,1,96826,3,79.31,42,42,1,1
1,53660,CPT,1,1982845681,871606811,1,96826,3,79.31,42,42,1,1
1,53660,CPT,1,1427461268,854294755,1,47304,3,79.31,42,42,1,1
1,54162,CPT,1,1912195322,990318807,1,96720,3,318.33,42,42,1,1
1,54162,CPT,1,1790862381,680534150,1,96720,3,318.33,42,42,1,1
1,54220,CPT,1,1801943931,990358929,1,96793,3,255.32,42,42,1,1
1,54300,CPT,1,1912195322,990318807,1,96720,3,777.72,42,42,1,1
1,54300,CPT,1,1790862381,680534150,1,96720,3,777.72,42,42,1,1
1,54322,CPT,1,1912195322,990318807,1,96720,3,944.18,42,42,1,1
1,54322,CPT,1,1790862381,680534150,1,96720,3,944.18,42,42,1,1
1,54322,CPT,1,1386627875,990333566,1,96813,3,1140.89,42,42,1,1
1,54340,CPT,1,1912195322,990318807,1,96720,3,692.84,42,42,1,1
1,54340,CPT,1,1790862381,680534150,1,96720,3,692.84,42,42,1,1
1,54360,CPT,1,1912195322,990318807,1,96720,3,872.31,42,42,1,1
1,54360,CPT,1,1790862381,680534150,1,96720,3,872.31,42,42,1,1
1,54520,CPT,1,1386627875,990333566,1,96813,3,480.83,42,42,1,1
1,54830,CPT,1,1386627875,990333566,1,96813,3,549.99,42,42,1,1
1,54900,CPT,1,1134317571,990346649,1,96743,3,1005.36,42,42,1,1
1,55041,CPT,1,1386627875,990333566,1,96813,3,746.24,42,42,1,1
1,55250,CPT,1,1386627875,990333566,1,96813,3,520.65,42,42,1,1
1,55520,CPT,1,1386627875,990333566,1,96813,3,554.81,42,42,1,1
